,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2012-03-05 19:00:00,4.978642e+22,50.36,87.3,106.29,60.214,0.08633409,70494420000000.0,-0.04634906,-0.03085599,4595.239,1893.2,62780200000000.0,17685.5,1.441147e+24,45.259,44.326,1.351372e+19,0.013,0.124,0.118,0.126,0.03821101,311371800000.0,0.00060312,0.00040155,24.637,1213037000000.0,12.43639,1.013409e+21,0.0
2012-03-05 20:00:00,5.084845e+22,50.2,88.648,107.985,60.714,0.04998997,72706020000000.0,-0.04563841,-0.03136307,4834.649,1928.64,66727270000000.0,17726.8,1.447714e+24,44.868,43.857,1.381835e+19,0.014,0.127,0.12,0.129,0.03930317,320981500000.0,0.00058505,0.00040224,24.735,1250512000000.0,12.07506,9.861475e+20,0.0
2012-03-05 21:00:00,5.224502e+22,50.558,87.165,104.732,58.628,0.02829728,74634260000000.0,-0.04618112,-0.02963028,4794.199,1963.747,69286620000000.0,17295.75,1.522305e+24,45.407,44.512,1.408422e+19,0.015,0.12,0.114,0.122,0.03702996,325923400000.0,0.00057109,0.00036665,24.3,1269852000000.0,11.73749,1.033088e+21,0.0
2012-03-05 22:00:00,5.310069e+22,50.463,86.215,103.17,57.852,0.03578231,74521420000000.0,-0.0471584,-0.03026394,4865.222,2041.666,75784820000000.0,17100.29,1.532103e+24,45.336,44.496,1.351948e+19,0.014,0.114,0.107,0.116,0.03511707,314632000000.0,0.00056463,0.0003626,24.462,1225985000000.0,11.60387,1.039651e+21,0.0
2012-03-05 23:00:00,5.324594e+22,50.47,87.936,106.043,59.386,0.02528886,76405660000000.0,-0.05030311,-0.03299432,5010.728,2196.069,79601720000000.0,17584.43,1.554416e+24,45.291,44.821,1.309725e+19,0.013,0.113,0.105,0.115,0.03448292,304819600000.0,0.0005552,0.00036442,24.256,1187906000000.0,11.43533,1.010852e+21,0.0
2012-03-06 00:00:00,5.317741e+22,51.12,88.877,107.205,59.814,0.02609607,77701850000000.0,-0.05069668,-0.03381557,5145.896,2231.489,79136960000000.0,18089.97,1.585363e+24,45.82,45.871,1.324569e+19,0.013,0.116,0.107,0.119,0.03555825,311624100000.0,0.00056096,0.00037431,24.701,1214609000000.0,12.16658,1.066251e+21,0.0
2012-03-06 01:00:00,5.360256e+22,51.237,89.511,107.423,60.067,-0.02549626,78669650000000.0,-0.04748492,-0.03169392,5188.145,2109.008,75839330000000.0,18210.9,1.609408e+24,45.938,46.158,1.313712e+19,0.013,0.114,0.106,0.117,0.03510853,310275300000.0,0.00055821,0.00037262,24.795,1209552000000.0,11.61858,1.026804e+21,0.0
2012-03-06 02:00:00,5.423848e+22,51.182,89.102,106.564,60.331,0.03281822,80122010000000.0,-0.0477545,-0.03148107,5230.352,2132.307,77810260000000.0,17932.72,1.613092e+24,46.017,46.381,1.323178e+19,0.013,0.113,0.104,0.116,0.03482543,313263100000.0,0.00055884,0.00036842,24.954,1221403000000.0,11.51713,1.035994e+21,0.0
2012-03-06 03:00:00,5.456991e+22,51.086,89.33,106.293,60.153,0.07932913,80185670000000.0,-0.04768362,-0.03129349,5242.602,2132.964,76018450000000.0,17783.2,1.60975e+24,45.795,45.94,1.305739e+19,0.013,0.111,0.102,0.114,0.03417123,309320700000.0,0.00055217,0.00036241,24.702,1206225000000.0,11.21296,1.015006e+21,0.0
2012-03-06 04:00:00,5.551e+22,50.803,87.586,104.255,59.29,0.06807172,82136650000000.0,-0.0461333,-0.02902084,5268.473,2058.709,72717440000000.0,16987.09,1.600401e+24,45.582,45.638,1.311258e+19,0.013,0.107,0.099,0.11,0.03298347,310746400000.0,0.00055129,0.00034686,24.606,1211958000000.0,10.73706,1.011568e+21,0.0
